자치구,카페수,총생활인구수,생활인구1만명당카페수,카페1개당생활인구,음식지출액,카페1개당음식지출액,생활인구1인당음식지출액
강남구,1487,822563.3143966713,18.077635775559425,553.1696801591602,2266954962000,1524515778.0766644,2755964.097016352
강동구,563,521984.5756788453,10.785759316121819,927.1484470316968,629943391000,1118904779.751332,1206823.7652056161
강북구,215,258867.08767067263,8.305420435429019,1204.0329659101053,442814630000,2059602930.2325583,1710586.8265622978
강서구,888,527603.4459387052,16.83082259669631,594.1480247057491,939669788000,1058186698.1981982,1781015.2591557694
관악구,548,447684.46962683654,12.240764135883037,816.9424628226944,790668258000,1442825288.321168,1766128.4043626855
광진구,524,348327.89554613177,15.043297039946735,664.7478922636102,784528507000,1497191807.2519083,2252270.108226514
구로구,450,377702.3495900597,11.914143517730528,839.3385546445771,573978232000,1275507182.2222223,1519657.562689162
금천구,452,210585.92851488752,21.463922266204296,465.8980719355919,358763459000,793724466.8141593,1703644.0256483564
노원구,509,457948.6013323921,11.114784465310626,899.7025566451711,711680518000,1398193552.0628684,1554061.9971965852
도봉구,241,253887.35757728425,9.49239860935725,1053.4745127688143,330649624000,1371990141.078838,1302347.730722862
동대문구,391,339309.0296778352,11.523418647928231,867.7980298665861,542917063000,1388534687.9795396,1600066.6516758637
동작구,418,363098.6997187328,11.512021395939875,868.6571763606048,599180256000,1433445588.5167465,1650185.6284920413
마포구,842,431959.7469097796,19.492557026982947,513.0163264961753,1399236485000,1661801051.0688837,3239275.1755460417
서대문구,448,352290.8412750115,12.716765453754,786.3634849888649,510505552000,1139521321.4285715,1449102.5374158965
서초구,972,567839.4950020432,17.117513109870995,584.1970113189744,1261532343000,1297872780.8641975,2221635.4341387628
성동구,430,336055.54186406103,12.795503910301255,781.5245159629326,651625417000,1515407946.511628,1939040.830529113
성북구,511,411592.62067679066,12.415188570673392,805.4650111091794,587432189000,1149573755.3816047,1427217.4948959788
송파구,852,724444.5608171832,11.7607343071074,850.2870432126564,1207613797000,1417387085.680751,1666951.2925016587
양천구,379,357380.8735496671,10.604932385877342,942.9574499991218,531178602000,1401526654.353562,1486309.5406424408
영등포구,758,468796.6603498049,16.169057165091544,618.4652511211146,1177837049000,1553874734.828496,2512468.9414833416
용산구,500,269727.6653683999,18.537216021837775,539.4553307367997,810552129000,1621104258.0,3005075.9824467036
은평구,349,413865.35136646003,8.432694325526551,1185.860605634556,556097733000,1593403246.418338,1343668.2514347506
종로구,734,272225.4388836892,26.96294670365499,370.8793445281869,1146250384000,1561649024.5231607,4210665.941803278
중구,904,257713.11813142788,35.077764242446534,285.0808828887477,890060796000,984580526.5486726,3453688.3587978208
중랑구,321,327994.76868589304,9.786741455849508,1021.7905566538724,433426501000,1350238320.8722742,1321443.3350157319
