자치구,카페수
강남구,1487
강동구,563
강북구,215
강서구,888
관악구,548
광진구,524
구로구,450
금천구,452
노원구,509
도봉구,241
동대문구,391
동작구,418
마포구,842
서대문구,448
서초구,972
성동구,430
성북구,511
송파구,852
양천구,379
영등포구,758
용산구,500
은평구,349
종로구,734
중구,904
중랑구,321
